Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:01:47.037000,VER,33,0 days 00:01:15.321000,70.0,2.0,,,0 days 00:00:19.963000,0 days 00:00:35.277000,0 days 00:00:20.081000,0 days 02:00:51.679000,0 days 02:01:26.956000,0 days 02:01:47.037000,198.0,197.0,259.0,268.0,False,HARD,36.0,True,Red Bull Racing,0 days 02:00:31.716000,2021-05-23 14:30:32.479,1,1.0,False,,False,True
0 days 02:03:02.274000,VER,33,0 days 00:01:15.237000,71.0,2.0,,,0 days 00:00:19.807000,0 days 00:00:35.359000,0 days 00:00:20.071000,0 days 02:02:06.844000,0 days 02:02:42.203000,0 days 02:03:02.274000,199.0,196.0,259.0,268.0,False,HARD,37.0,True,Red Bull Racing,0 days 02:01:47.037000,2021-05-23 14:31:47.800,1,1.0,False,,False,True
0 days 02:04:17.216000,VER,33,0 days 00:01:14.942000,72.0,2.0,,,0 days 00:00:19.740000,0 days 00:00:35.088000,0 days 00:00:20.114000,0 days 02:03:22.014000,0 days 02:03:57.102000,0 days 02:04:17.216000,,198.0,259.0,268.0,False,HARD,38.0,True,Red Bull Racing,0 days 02:03:02.274000,2021-05-23 14:33:03.037,1,1.0,False,,False,True
0 days 02:05:32.532000,VER,33,0 days 00:01:15.316000,73.0,2.0,,,0 days 00:00:19.761000,0 days 00:00:35.471000,0 days 00:00:20.084000,0 days 02:04:36.977000,0 days 02:05:12.448000,0 days 02:05:32.532000,194.0,197.0,259.0,268.0,False,HARD,39.0,True,Red Bull Racing,0 days 02:04:17.216000,2021-05-23 14:34:17.979,1,1.0,False,,False,True
0 days 02:06:48.047000,VER,33,0 days 00:01:15.515000,74.0,2.0,,,0 days 00:00:19.746000,0 days 00:00:35.605000,0 days 00:00:20.164000,0 days 02:05:52.278000,0 days 02:06:27.883000,0 days 02:06:48.047000,198.0,196.0,258.0,269.0,False,HARD,40.0,True,Red Bull Racing,0 days 02:05:32.532000,2021-05-23 14:35:33.295,1,1.0,False,,False,True
0 days 02:08:02.956000,VER,33,0 days 00:01:14.909000,75.0,2.0,,,0 days 00:00:19.787000,0 days 00:00:35.123000,0 days 00:00:19.999000,0 days 02:07:07.834000,0 days 02:07:42.957000,0 days 02:08:02.956000,201.0,196.0,260.0,269.0,False,HARD,41.0,True,Red Bull Racing,0 days 02:06:48.047000,2021-05-23 14:36:48.810,1,1.0,False,,False,True
0 days 02:09:18.287000,VER,33,0 days 00:01:15.331000,76.0,2.0,,,0 days 00:00:19.814000,0 days 00:00:35.258000,0 days 00:00:20.259000,0 days 02:08:22.770000,0 days 02:08:58.028000,0 days 02:09:18.287000,196.0,197.0,261.0,270.0,False,HARD,42.0,True,Red Bull Racing,0 days 02:08:02.956000,2021-05-23 14:38:03.719,1,1.0,False,,False,True
0 days 02:10:34.820000,VER,33,0 days 00:01:16.533000,77.0,2.0,,,0 days 00:00:20.147000,0 days 00:00:36.042000,0 days 00:00:20.344000,0 days 02:09:38.434000,0 days 02:10:14.476000,0 days 02:10:34.820000,195.0,193.0,260.0,269.0,False,HARD,43.0,True,Red Bull Racing,0 days 02:09:18.287000,2021-05-23 14:39:19.050,1,1.0,False,,False,True
0 days 02:11:51.649000,VER,33,0 days 00:01:16.829000,78.0,2.0,,,0 days 00:00:20.258000,0 days 00:00:35.742000,0 days 00:00:20.829000,0 days 02:10:55.078000,0 days 02:11:30.820000,0 days 02:11:51.649000,191.0,193.0,238.0,268.0,False,HARD,44.0,True,Red Bull Racing,0 days 02:10:34.820000,2021-05-23 14:40:35.583,1,1.0,False,,False,True
0 days 00:34:22.811000,HAM,44,0 days 00:01:27.982000,1.0,1.0,,,,0 days 00:00:38.253000,0 days 00:00:21.595000,,0 days 00:34:01.287000,0 days 00:34:22.981000,157.0,184.0,257.0,275.0,False,SOFT,5.0,False,Mercedes,0 days 00:32:54.677000,2021-05-23 13:02:55.440,1,7.0,False,,False,False
0 days 00:35:41.553000,HAM,44,0 days 00:01:18.742000,2.0,1.0,,,0 days 00:00:20.906000,0 days 00:00:36.588000,0 days 00:00:21.248000,0 days 00:34:43.724000,0 days 00:35:20.312000,0 days 00:35:41.560000,191.0,189.0,258.0,281.0,True,SOFT,6.0,False,Mercedes,0 days 00:34:22.811000,2021-05-23 13:04:23.574,1,6.0,False,,False,True
0 days 00:36:59.793000,HAM,44,0 days 00:01:18.240000,3.0,1.0,,,0 days 00:00:20.900000,0 days 00:00:36.355000,0 days 00:00:20.985000,0 days 00:36:02.460000,0 days 00:36:38.815000,0 days 00:36:59.800000,190.0,189.0,256.0,276.0,True,SOFT,7.0,False,Mercedes,0 days 00:35:41.553000,2021-05-23 13:05:42.316,1,6.0,False,,False,True
0 days 00:38:17.729000,HAM,44,0 days 00:01:17.936000,4.0,1.0,,,0 days 00:00:20.584000,0 days 00:00:36.367000,0 days 00:00:20.985000,0 days 00:37:20.384000,0 days 00:37:56.751000,0 days 00:38:17.736000,194.0,188.0,258.0,275.0,True,SOFT,8.0,False,Mercedes,0 days 00:36:59.793000,2021-05-23 13:07:00.556,1,6.0,False,,False,True
0 days 00:39:35.950000,HAM,44,0 days 00:01:18.221000,5.0,1.0,,,0 days 00:00:20.710000,0 days 00:00:36.260000,0 days 00:00:21.251000,0 days 00:38:38.446000,0 days 00:39:14.706000,0 days 00:39:35.957000,191.0,189.0,255.0,273.0,False,SOFT,9.0,False,Mercedes,0 days 00:38:17.729000,2021-05-23 13:08:18.492,1,6.0,False,,False,True
0 days 00:40:53.398000,HAM,44,0 days 00:01:17.448000,6.0,1.0,,,0 days 00:00:20.741000,0 days 00:00:35.904000,0 days 00:00:20.803000,0 days 00:39:56.698000,0 days 00:40:32.602000,0 days 00:40:53.405000,,190.0,256.0,276.0,True,SOFT,10.0,False,Mercedes,0 days 00:39:35.950000,2021-05-23 13:09:36.713,1,6.0,False,,False,True
0 days 00:42:10.603000,HAM,44,0 days 00:01:17.205000,7.0,1.0,,,0 days 00:00:20.474000,0 days 00:00:35.950000,0 days 00:00:20.781000,0 days 00:41:13.879000,0 days 00:41:49.829000,0 days 00:42:10.610000,194.0,191.0,256.0,277.0,True,SOFT,11.0,False,Mercedes,0 days 00:40:53.398000,2021-05-23 13:10:54.161,1,6.0,False,,False,True
0 days 00:43:27.612000,HAM,44,0 days 00:01:17.009000,8.0,1.0,,,0 days 00:00:20.460000,0 days 00:00:35.825000,0 days 00:00:20.724000,0 days 00:42:31.070000,0 days 00:43:06.895000,0 days 00:43:27.619000,199.0,192.0,256.0,278.0,True,SOFT,12.0,False,Mercedes,0 days 00:42:10.603000,2021-05-23 13:12:11.366,1,6.0,False,,False,True
0 days 00:44:44.391000,HAM,44,0 days 00:01:16.779000,9.0,1.0,,,0 days 00:00:20.333000,0 days 00:00:35.754000,0 days 00:00:20.692000,0 days 00:43:47.952000,0 days 00:44:23.706000,0 days 00:44:44.398000,198.0,192.0,257.0,280.0,True,SOFT,13.0,False,Mercedes,0 days 00:43:27.612000,2021-05-23 13:13:28.375,1,6.0,False,,False,True
0 days 00:46:01.260000,HAM,44,0 days 00:01:16.869000,10.0,1.0,,,0 days 00:00:20.255000,0 days 00:00:35.851000,0 days 00:00:20.763000,0 days 00:45:04.653000,0 days 00:45:40.504000,0 days 00:46:01.267000,199.0,192.0,257.0,278.0,False,SOFT,14.0,False,Mercedes,0 days 00:44:44.391000,2021-05-23 13:14:45.154,1,6.0,False,,False,True
0 days 00:47:17.958000,HAM,44,0 days 00:01:16.698000,11.0,1.0,,,0 days 00:00:20.374000,0 days 00:00:35.732000,0 days 00:00:20.592000,0 days 00:46:21.641000,0 days 00:46:57.373000,0 days 00:47:17.965000,200.0,192.0,259.0,282.0,True,SOFT,15.0,False,Mercedes,0 days 00:46:01.260000,2021-05-23 13:16:02.023,1,6.0,False,,False,True
0 days 00:48:34.625000,HAM,44,0 days 00:01:16.667000,12.0,1.0,,,0 days 00:00:20.322000,0 days 00:00:35.674000,0 days 00:00:20.671000,0 days 00:47:38.287000,0 days 00:48:13.961000,0 days 00:48:34.632000,197.0,193.0,258.0,281.0,True,SOFT,16.0,False,Mercedes,0 days 00:47:17.958000,2021-05-23 13:17:18.721,1,6.0,False,,False,True
0 days 00:49:51.695000,HAM,44,0 days 00:01:17.070000,13.0,1.0,,,0 days 00:00:20.396000,0 days 00:00:35.938000,0 days 00:00:20.736000,0 days 00:48:55.028000,0 days 00:49:30.966000,0 days 00:49:51.702000,201.0,191.0,257.0,277.0,False,SOFT,17.0,False,Mercedes,0 days 00:48:34.625000,2021-05-23 13:18:35.388,1,6.0,False,,False,True
0 days 00:51:08.250000,HAM,44,0 days 00:01:16.555000,14.0,1.0,,,0 days 00:00:20.203000,0 days 00:00:35.728000,0 days 00:00:20.624000,0 days 00:50:11.905000,0 days 00:50:47.633000,0 days 00:51:08.257000,198.0,191.0,257.0,280.0,True,SOFT,18.0,False,Mercedes,0 days 00:49:51.695000,2021-05-23 13:19:52.458,1,6.0,False,,False,True
0 days 00:52:24.512000,HAM,44,0 days 00:01:16.262000,15.0,1.0,,,0 days 00:00:20.156000,0 days 00:00:35.515000,0 days 00:00:20.591000,0 days 00:51:28.413000,0 days 00:52:03.928000,0 days 00:52:24.519000,201.0,193.0,256.0,280.0,True,SOFT,19.0,False,Mercedes,0 days 00:51:08.250000,2021-05-23 13:21:09.013,1,6.0,False,,False,True
0 days 00:53:40.664000,HAM,44,0 days 00:01:16.152000,16.0,1.0,,,0 days 00:00:20.056000,0 days 00:00:35.457000,0 days 00:00:20.639000,0 days 00:52:44.575000,0 days 00:53:20.032000,0 days 00:53:40.671000,203.0,193.0,257.0,279.0,True,SOFT,20.0,False,Mercedes,0 days 00:52:24.512000,2021-05-23 13:22:25.275,1,6.0,False,,False,True
0 days 00:54:56.697000,HAM,44,0 days 00:01:16.033000,17.0,1.0,,,0 days 00:00:20.067000,0 days 00:00:35.541000,0 days 00:00:20.425000,0 days 00:54:00.738000,0 days 00:54:36.279000,0 days 00:54:56.704000,206.0,192.0,257.0,282.0,True,SOFT,21.0,False,Mercedes,0 days 00:53:40.664000,2021-05-23 13:23:41.427,1,6.0,False,,False,True
0 days 00:56:12.551000,HAM,44,0 days 00:01:15.854000,18.0,1.0,,,0 days 00:00:20.048000,0 days 00:00:35.343000,0 days 00:00:20.463000,0 days 00:55:16.752000,0 days 00:55:52.095000,0 days 00:56:12.558000,203.0,195.0,258.0,280.0,True,SOFT,22.0,False,Mercedes,0 days 00:54:56.697000,2021-05-23 13:24:57.460,1,6.0,False,,False,True
0 days 00:57:29.036000,HAM,44,0 days 00:01:16.485000,19.0,1.0,,,0 days 00:00:20.079000,0 days 00:00:35.697000,0 days 00:00:20.709000,0 days 00:56:32.637000,0 days 00:57:08.334000,0 days 00:57:29.043000,198.0,192.0,259.0,282.0,False,SOFT,23.0,False,Mercedes,0 days 00:56:12.551000,2021-05-23 13:26:13.314,1,6.0,False,,False,True
0 days 00:58:45.836000,HAM,44,0 days 00:01:16.800000,20.0,1.0,,,0 days 00:00:20.458000,0 days 00:00:35.785000,0 days 00:00:20.557000,0 days 00:57:49.501000,0 days 00:58:25.286000,0 days 00:58:45.843000,,194.0,258.0,281.0,False,SOFT,24.0,False,Mercedes,0 days 00:57:29.036000,2021-05-23 13:27:29.799,1,6.0,False,,False,True
0 days 01:00:02.231000,HAM,44,0 days 00:01:16.395000,21.0,1.0,,,0 days 00:00:20.196000,0 days 00:00:35.475000,0 days 00:00:20.724000,0 days 00:59:06.039000,0 days 00:59:41.514000,0 days 01:00:02.238000,202.0,195.0,255.0,279.0,False,SOFT,25.0,False,Mercedes,0 days 00:58:45.836000,2021-05-23 13:28:46.599,1,6.0,False,,False,True
0 days 01:01:18.248000,HAM,44,0 days 00:01:16.017000,22.0,1.0,,,0 days 00:00:20.069000,0 days 00:00:35.404000,0 days 00:00:20.544000,0 days 01:00:22.307000,0 days 01:00:57.711000,0 days 01:01:18.255000,207.0,195.0,257.0,280.0,False,SOFT,26.0,False,Mercedes,0 days 01:00:02.231000,2021-05-23 13:30:02.994,1,6.0,False,,False,True
0 days 01:02:34.344000,HAM,44,0 days 00:01:16.096000,23.0,1.0,,,0 days 00:00:19.998000,0 days 00:00:35.468000,0 days 00:00:20.630000,0 days 01:01:38.253000,0 days 01:02:13.721000,0 days 01:02:34.351000,206.0,196.0,257.0,282.0,False,SOFT,27.0,False,Mercedes,0 days 01:01:18.248000,2021-05-23 13:31:19.011,1,6.0,False,,False,True
0 days 01:03:50.687000,HAM,44,0 days 00:01:16.343000,24.0,1.0,,,0 days 00:00:20.116000,0 days 00:00:35.682000,0 days 00:00:20.545000,0 days 01:02:54.467000,0 days 01:03:30.149000,0 days 01:03:50.694000,201.0,196.0,254.0,280.0,False,SOFT,28.0,False,Mercedes,0 days 01:02:34.344000,2021-05-23 13:32:35.107,1,6.0,False,,False,True
0 days 01:05:07.323000,HAM,44,0 days 00:01:16.636000,25.0,1.0,,,0 days 00:00:20.069000,0 days 00:00:35.659000,0 days 00:00:20.908000,0 days 01:04:10.763000,0 days 01:04:46.422000,0 days 01:05:07.330000,205.0,192.0,258.0,281.0,False,SOFT,29.0,False,Mercedes,0 days 01:03:50.687000,2021-05-23 13:33:51.450,1,6.0,False,,False,True
0 days 01:06:23.820000,HAM,44,0 days 00:01:16.497000,26.0,1.0,,,0 days 00:00:20.096000,0 days 00:00:35.653000,0 days 00:00:20.748000,0 days 01:05:27.426000,0 days 01:06:03.079000,0 days 01:06:23.827000,203.0,194.0,258.0,282.0,False,SOFT,30.0,False,Mercedes,0 days 01:05:07.323000,2021-05-23 13:35:08.086,1,6.0,False,,False,True
0 days 01:07:40.442000,HAM,44,0 days 00:01:16.622000,27.0,1.0,,,0 days 00:00:20.071000,0 days 00:00:35.696000,0 days 00:00:20.855000,0 days 01:06:43.898000,0 days 01:07:19.594000,0 days 01:07:40.449000,204.0,195.0,260.0,284.0,False,SOFT,31.0,False,Mercedes,0 days 01:06:23.820000,2021-05-23 13:36:24.583,1,6.0,False,,False,True
0 days 01:08:57.486000,HAM,44,0 days 00:01:17.044000,28.0,1.0,,,0 days 00:00:20.660000,0 days 00:00:35.694000,0 days 00:00:20.690000,0 days 01:08:01.109000,0 days 01:08:36.803000,0 days 01:08:57.493000,,194.0,258.0,283.0,False,SOFT,32.0,False,Mercedes,0 days 01:07:40.442000,2021-05-23 13:37:41.205,1,6.0,False,,False,True
0 days 01:10:30.537000,HAM,44,0 days 00:01:33.051000,29.0,1.0,,0 days 01:10:07.703000,0 days 00:00:20.185000,0 days 00:00:35.675000,0 days 00:00:37.191000,0 days 01:09:17.678000,0 days 01:09:53.353000,0 days 01:10:30.544000,201.0,196.0,,281.0,False,SOFT,33.0,False,Mercedes,0 days 01:08:57.486000,2021-05-23 13:38:58.249,1,8.0,False,,False,False
0 days 01:11:49.276000,HAM,44,0 days 00:01:18.739000,30.0,2.0,0 days 01:10:31.366000,,0 days 00:00:22.815000,0 days 00:00:35.659000,0 days 00:00:20.265000,0 days 01:10:53.359000,0 days 01:11:29.018000,0 days 01:11:49.283000,195.0,195.0,256.0,277.0,False,HARD,1.0,True,Mercedes,0 days 01:10:30.537000,2021-05-23 13:40:31.300,1,8.0,False,,False,False
0 days 01:13:08.602000,HAM,44,0 days 00:01:19.326000,31.0,2.0,,,0 days 00:00:21.644000,0 days 00:00:36.879000,0 days 00:00:20.803000,0 days 01:12:10.927000,0 days 01:12:47.806000,0 days 01:13:08.609000,171.0,190.0,269.0,285.0,False,HARD,2.0,True,Mercedes,0 days 01:11:49.276000,2021-05-23 13:41:50.039,1,7.0,False,,False,True
0 days 01:14:27.568000,HAM,44,0 days 00:01:18.966000,32.0,2.0,,,0 days 00:00:21.624000,0 days 00:00:36.389000,0 days 00:00:20.953000,0 days 01:13:30.233000,0 days 01:14:06.622000,0 days 01:14:27.575000,180.0,189.0,269.0,284.0,False,HARD,3.0,True,Mercedes,0 days 01:13:08.602000,2021-05-23 13:43:09.365,1,7.0,False,,False,True
0 days 01:15:45.270000,HAM,44,0 days 00:01:17.702000,33.0,2.0,,,0 days 00:00:20.612000,0 days 00:00:36.286000,0 days 00:00:20.804000,0 days 01:14:48.187000,0 days 01:15:24.473000,0 days 01:15:45.277000,191.0,187.0,258.0,283.0,False,HARD,4.0,True,Mercedes,0 days 01:14:27.568000,2021-05-23 13:44:28.331,1,7.0,False,,False,True
0 days 01:17:01.690000,HAM,44,0 days 00:01:16.420000,34.0,2.0,,,0 days 00:00:20.149000,0 days 00:00:35.654000,0 days 00:00:20.617000,0 days 01:16:05.426000,0 days 01:16:41.080000,0 days 01:17:01.697000,201.0,189.0,257.0,281.0,False,HARD,5.0,True,Mercedes,0 days 01:15:45.270000,2021-05-23 13:45:46.033,1,7.0,False,,False,True
0 days 01:18:17.619000,HAM,44,0 days 00:01:15.929000,35.0,2.0,,,0 days 00:00:19.976000,0 days 00:00:35.468000,0 days 00:00:20.485000,0 days 01:17:21.673000,0 days 01:17:57.141000,0 days 01:18:17.626000,205.0,194.0,258.0,282.0,False,HARD,6.0,True,Mercedes,0 days 01:17:01.690000,2021-05-23 13:47:02.453,1,7.0,False,,False,True
0 days 01:19:33.655000,HAM,44,0 days 00:01:16.036000,36.0,2.0,,,0 days 00:00:19.979000,0 days 00:00:35.504000,0 days 00:00:20.553000,0 days 01:18:37.605000,0 days 01:19:13.109000,0 days 01:19:33.662000,198.0,195.0,259.0,280.0,False,HARD,7.0,True,Mercedes,0 days 01:18:17.619000,2021-05-23 13:48:18.382,1,7.0,False,,False,True
0 days 01:20:50.276000,HAM,44,0 days 00:01:16.621000,37.0,2.0,,,0 days 00:00:20.317000,0 days 00:00:35.641000,0 days 00:00:20.663000,0 days 01:19:53.979000,0 days 01:20:29.620000,0 days 01:20:50.283000,,192.0,258.0,280.0,False,HARD,8.0,True,Mercedes,0 days 01:19:33.655000,2021-05-23 13:49:34.418,1,7.0,False,,False,True
0 days 01:22:06.485000,HAM,44,0 days 00:01:16.209000,38.0,2.0,,,0 days 00:00:20.166000,0 days 00:00:35.425000,0 days 00:00:20.618000,0 days 01:21:10.449000,0 days 01:21:45.874000,0 days 01:22:06.492000,199.0,191.0,260.0,281.0,False,HARD,9.0,True,Mercedes,0 days 01:20:50.276000,2021-05-23 13:50:51.039,1,7.0,False,,False,True
0 days 01:23:22.877000,HAM,44,0 days 00:01:16.392000,39.0,2.0,,,0 days 00:00:20.156000,0 days 00:00:35.661000,0 days 00:00:20.575000,0 days 01:22:26.648000,0 days 01:23:02.309000,0 days 01:23:22.884000,196.0,192.0,262.0,284.0,False,HARD,10.0,True,Mercedes,0 days 01:22:06.485000,2021-05-23 13:52:07.248,1,7.0,False,,False,True
0 days 01:24:39.419000,HAM,44,0 days 00:01:16.542000,40.0,2.0,,,0 days 00:00:20.249000,0 days 00:00:35.649000,0 days 00:00:20.644000,0 days 01:23:43.133000,0 days 01:24:18.782000,0 days 01:24:39.426000,202.0,191.0,261.0,283.0,False,HARD,11.0,True,Mercedes,0 days 01:23:22.877000,2021-05-23 13:53:23.640,1,7.0,False,,False,True
0 days 01:25:55.768000,HAM,44,0 days 00:01:16.349000,41.0,2.0,,,0 days 00:00:20.103000,0 days 00:00:35.625000,0 days 00:00:20.621000,0 days 01:24:59.529000,0 days 01:25:35.154000,0 days 01:25:55.775000,195.0,196.0,259.0,286.0,False,HARD,12.0,True,Mercedes,0 days 01:24:39.419000,2021-05-23 13:54:40.182,1,7.0,False,,False,True
0 days 01:27:12.732000,HAM,44,0 days 00:01:16.964000,42.0,2.0,,,0 days 00:00:20.154000,0 days 00:00:35.886000,0 days 00:00:20.924000,0 days 01:26:15.929000,0 days 01:26:51.815000,0 days 01:27:12.739000,198.0,195.0,257.0,284.0,False,HARD,13.0,True,Mercedes,0 days 01:25:55.768000,2021-05-23 13:55:56.531,1,7.0,False,,False,True
0 days 01:28:30.585000,HAM,44,0 days 00:01:17.853000,43.0,2.0,,,0 days 00:00:20.559000,0 days 00:00:36.394000,0 days 00:00:20.900000,0 days 01:27:33.298000,0 days 01:28:09.692000,0 days 01:28:30.592000,196.0,190.0,259.0,280.0,False,HARD,14.0,True,Mercedes,0 days 01:27:12.732000,2021-05-23 13:57:13.495,1,7.0,False,,False,True
0 days 01:29:47.378000,HAM,44,0 days 00:01:16.793000,44.0,2.0,,,0 days 00:00:20.287000,0 days 00:00:35.843000,0 days 00:00:20.663000,0 days 01:28:50.879000,0 days 01:29:26.722000,0 days 01:29:47.385000,200.0,191.0,259.0,280.0,False,HARD,15.0,True,Mercedes,0 days 01:28:30.585000,2021-05-23 13:58:31.348,1,7.0,False,,False,True
0 days 01:31:03.281000,HAM,44,0 days 00:01:15.903000,45.0,2.0,,,0 days 00:00:20.157000,0 days 00:00:35.345000,0 days 00:00:20.401000,0 days 01:30:07.542000,0 days 01:30:42.887000,0 days 01:31:03.288000,201.0,195.0,258.0,280.0,False,HARD,16.0,True,Mercedes,0 days 01:29:47.378000,2021-05-23 13:59:48.141,1,7.0,False,,False,True
0 days 01:32:19.001000,HAM,44,0 days 00:01:15.720000,46.0,2.0,,,0 days 00:00:19.996000,0 days 00:00:35.501000,0 days 00:00:20.223000,0 days 01:31:23.284000,0 days 01:31:58.785000,0 days 01:32:19.008000,203.0,196.0,259.0,281.0,True,HARD,17.0,True,Mercedes,0 days 01:31:03.281000,2021-05-23 14:01:04.044,1,7.0,False,,False,True
0 days 01:33:34.278000,HAM,44,0 days 00:01:15.277000,47.0,2.0,,,0 days 00:00:19.820000,0 days 00:00:35.148000,0 days 00:00:20.309000,0 days 01:32:38.828000,0 days 01:33:13.976000,0 days 01:33:34.285000,,196.0,261.0,284.0,True,HARD,18.0,True,Mercedes,0 days 01:32:19.001000,2021-05-23 14:02:19.764,1,7.0,False,,False,True
0 days 01:34:50.995000,HAM,44,0 days 00:01:16.717000,48.0,2.0,,,0 days 00:00:20.237000,0 days 00:00:35.715000,0 days 00:00:20.765000,0 days 01:33:54.522000,0 days 01:34:30.237000,0 days 01:34:51.002000,201.0,190.0,260.0,284.0,False,HARD,19.0,True,Mercedes,0 days 01:33:34.278000,2021-05-23 14:03:35.041,1,7.0,False,,False,True
0 days 01:36:07.323000,HAM,44,0 days 00:01:16.328000,49.0,2.0,,,0 days 00:00:20.179000,0 days 00:00:35.579000,0 days 00:00:20.570000,0 days 01:35:11.181000,0 days 01:35:46.760000,0 days 01:36:07.330000,199.0,191.0,258.0,280.0,False,HARD,20.0,True,Mercedes,0 days 01:34:50.995000,2021-05-23 14:04:51.758,1,7.0,False,,False,True
0 days 01:37:23.539000,HAM,44,0 days 00:01:16.216000,50.0,2.0,,,0 days 00:00:20.051000,0 days 00:00:35.598000,0 days 00:00:20.567000,0 days 01:36:27.381000,0 days 01:37:02.979000,0 days 01:37:23.546000,203.0,192.0,259.0,282.0,False,HARD,21.0,True,Mercedes,0 days 01:36:07.323000,2021-05-23 14:06:08.086,1,7.0,False,,False,True
0 days 01:38:39.805000,HAM,44,0 days 00:01:16.266000,51.0,2.0,,,0 days 00:00:20.083000,0 days 00:00:35.556000,0 days 00:00:20.627000,0 days 01:37:43.629000,0 days 01:38:19.185000,0 days 01:38:39.812000,199.0,191.0,258.0,280.0,False,HARD,22.0,True,Mercedes,0 days 01:37:23.539000,2021-05-23 14:07:24.302,1,7.0,False,,False,True
0 days 01:39:55.934000,HAM,44,0 days 00:01:16.129000,52.0,2.0,,,0 days 00:00:20.195000,0 days 00:00:35.468000,0 days 00:00:20.466000,0 days 01:39:00.007000,0 days 01:39:35.475000,0 days 01:39:55.941000,203.0,191.0,259.0,281.0,False,HARD,23.0,True,Mercedes,0 days 01:38:39.805000,2021-05-23 14:08:40.568,1,7.0,False,,False,True
0 days 01:41:11.575000,HAM,44,0 days 00:01:15.641000,53.0,2.0,,,0 days 00:00:19.877000,0 days 00:00:35.369000,0 days 00:00:20.395000,0 days 01:40:15.818000,0 days 01:40:51.187000,0 days 01:41:11.582000,207.0,193.0,259.0,282.0,False,HARD,24.0,True,Mercedes,0 days 01:39:55.934000,2021-05-23 14:09:56.697,1,7.0,False,,False,True
0 days 01:42:27.469000,HAM,44,0 days 00:01:15.894000,54.0,2.0,,,0 days 00:00:19.959000,0 days 00:00:35.456000,0 days 00:00:20.479000,0 days 01:41:31.541000,0 days 01:42:06.997000,0 days 01:42:27.476000,203.0,194.0,260.0,282.0,False,HARD,25.0,True,Mercedes,0 days 01:41:11.575000,2021-05-23 14:11:12.338,1,7.0,False,,False,True
0 days 01:43:43.422000,HAM,44,0 days 00:01:15.953000,55.0,2.0,,,0 days 00:00:19.920000,0 days 00:00:35.507000,0 days 00:00:20.526000,0 days 01:42:47.396000,0 days 01:43:22.903000,0 days 01:43:43.429000,202.0,197.0,260.0,281.0,False,HARD,26.0,True,Mercedes,0 days 01:42:27.469000,2021-05-23 14:12:28.232,1,7.0,False,,False,True
0 days 01:44:59.570000,HAM,44,0 days 00:01:16.148000,56.0,2.0,,,0 days 00:00:20.042000,0 days 00:00:35.588000,0 days 00:00:20.518000,0 days 01:44:03.471000,0 days 01:44:39.059000,0 days 01:44:59.577000,197.0,195.0,269.0,285.0,False,HARD,27.0,True,Mercedes,0 days 01:43:43.422000,2021-05-23 14:13:44.185,1,7.0,False,,False,True
0 days 01:46:16.447000,HAM,44,0 days 00:01:16.877000,57.0,2.0,,,0 days 00:00:20.223000,0 days 00:00:35.885000,0 days 00:00:20.769000,0 days 01:45:19.800000,0 days 01:45:55.685000,0 days 01:46:16.454000,191.0,186.0,259.0,283.0,False,HARD,28.0,True,Mercedes,0 days 01:44:59.570000,2021-05-23 14:15:00.333,1,7.0,False,,False,True
0 days 01:47:32.688000,HAM,44,0 days 00:01:16.241000,58.0,2.0,,,0 days 00:00:20.051000,0 days 00:00:35.592000,0 days 00:00:20.598000,0 days 01:46:36.505000,0 days 01:47:12.097000,0 days 01:47:32.695000,201.0,192.0,259.0,278.0,False,HARD,29.0,True,Mercedes,0 days 01:46:16.447000,2021-05-23 14:16:17.210,1,7.0,False,,False,True
0 days 01:48:48.694000,HAM,44,0 days 00:01:16.006000,59.0,2.0,,,0 days 00:00:20.026000,0 days 00:00:35.444000,0 days 00:00:20.536000,0 days 01:47:52.721000,0 days 01:48:28.165000,0 days 01:48:48.701000,205.0,193.0,259.0,281.0,False,HARD,30.0,True,Mercedes,0 days 01:47:32.688000,2021-05-23 14:17:33.451,1,7.0,False,,False,True
0 days 01:50:04.707000,HAM,44,0 days 00:01:16.013000,60.0,2.0,,,0 days 00:00:19.949000,0 days 00:00:35.637000,0 days 00:00:20.427000,0 days 01:49:08.650000,0 days 01:49:44.287000,0 days 01:50:04.714000,203.0,196.0,259.0,280.0,False,HARD,31.0,True,Mercedes,0 days 01:48:48.694000,2021-05-23 14:18:49.457,1,7.0,False,,False,True
0 days 01:51:20.565000,HAM,44,0 days 00:01:15.858000,61.0,2.0,,,0 days 00:00:19.982000,0 days 00:00:35.428000,0 days 00:00:20.448000,0 days 01:50:24.696000,0 days 01:51:00.124000,0 days 01:51:20.572000,205.0,191.0,259.0,281.0,False,HARD,32.0,True,Mercedes,0 days 01:50:04.707000,2021-05-23 14:20:05.470,1,7.0,False,,False,True
